2012/S
2012-05-15 10:25:56
classification;department;academic_year;course_number;lecture_number;course_title;credit;class_time;location;instructor;quota;enrollment;remark;category;snuev_lec_id
교양;영어영문학과;1학년;002.005A;001;영미문화 읽기;3;월(1-3)/수(1-3)/금(1-3);001-207/001-207/001-207;이광진;50;23;월수금 1-3교시, 1동 207호;;
교양;영어영문학과;1학년;002.005A;002;영미문화 읽기;3;월(4-3)/수(4-3)/금(4-3);001-207/001-207/001-207;;50;9;월수금 4-6교시, 1동 207호;;
교양;영어영문학과;1학년;002.006A;001;영미 대중소설 읽기;3;월(4-3)/수(4-3)/금(4-3);002-110/002-110/002-110;;50;45;월수금 4-6교시, 2동 110호;;
교양;영어영문학과;1학년;002.006A;002;영미 대중소설 읽기;3;월(7-3)/수(7-3)/금(7-3);002-110/002-110/002-110;;50;32;월수금 7-9, 2동 110호;;
교양;불어불문학과;1학년;002.042A;;프랑스어권 문화의 이해;3;월(4-3)/수(4-3)/금(4-3);005-211/005-211/005-211;장진영;40;40;월,수,금 4,5,6교시 005-211;;686
교양;독어독문학과;1학년;002.053A;;독일어권 문화의 이해;3;월(1-3)/수(1-3)/금(1-3);43-1-302/43-1-302/43-1-302;이소영;50;30;멀티미디어강의실 부탁드립니다;;22717
교양;서어서문학과;1학년;002.133;001;스페인어권 문화의 이해;3;월(1-3)/수(1-3)/금(1-3);003-115/003-115/003-115;조영실;40;21;;;6174
교양;서어서문학과;1학년;002.133;002;스페인어권 문화의 이해;3;월(4-3)/수(4-3)/금(4-3);003-102/003-102/003-102;강성식;40;40;;;3059
교양;서어서문학과;1학년;002.133;003;스페인어권 문화의 이해;3;월(7-3)/수(7-3)/금(7-3);003-102/003-102/003-102;최해성;40;40;;;3637
교양;국어국문학과;1학년;003.008A;;현대시와 문화;3;월(7-3)/수(7-3)/금(7-3);001-103/001-103/001-103;이성희;40;26;;;
교양;국어국문학과;1학년;003.009A;;소설로 보는 한국현대사회;3;월(4-3)/수(4-3)/금(4-3);001-102/001-102/001-102;노연숙;40;11;;;
교양;국어국문학과;1학년;003.010A;;드라마의 이해와 감상;3;월(7-3)/수(7-3)/금(7-3);083-401/083-401/083-401;양근애;40;40;;;26936
교양;협동과정  서양고전학전공;1학년;003.024;;희랍·로마신화;3;월(1-3)/수(1-3)/금(1-3);001-210/001-210/001-210;김진식;30;29;;;
교양;언어학과;1학년;003.026;;언어와 인간;3;월(1-3)/수(1-3)/금(1-3);083-402/083-402/083-402;윤기덕;30;11;;;
교양;서어서문학과;1학년;003.030A;;스페인어권명작의 이해;3;월(7-3)/수(7-3)/금(7-3);005-101/005-101/005-101;장재준;40;40;;;7466
교양;노어노문학과;1학년;003.031;;러시아명작의 이해;3;월(4-3)/수(4-3)/금(4-3);083-401/083-401/083-401;박종소;50;19;;;
교양;미학과;1학년;003.052;;예술과 사회;3;월(7-3)/수(7-3)/금(7-3);001-102/001-102/001-102;정우진;50;50;;;7432
교양;미학과;1학년;003.053;;현대예술의 이해;2;월(7-2)/화(7-2)/수(7-2)/목(7-2)/금(7-2);014-104/014-104/014-104/014-104/014-104;이승건;50;23;14동 104호 월화수목금7-8교시;;945
교양;서양화과;1학년;003.055;001;서양미술의 이해;3;수(4-3)/목(4-3)/금(4-3);220-203/220-203/220-203;허수정;150;32;미대생 수강불허;;729
교양;서양화과;1학년;003.055;002;서양미술의 이해;3;월(1-3)/수(1-3)/금(1-3);43-1-101/43-1-101/43-1-101;강영주;150;23;미대생 수강불허;;6073
교양;협동과정  서양고전학전공;1학년;003.059;;고대희랍.로마문학의 세계;3;월(4-3)/수(4-3)/금(4-3);001-210/001-210/001-210;안재원;30;22;;;633
교양;미학과;1학년;003.061A;;공연예술의 이해;2;월(1-3)/수(1-3)/금(1-3);220-201/220-201/220-201;전예완;50;50;220동 201호, 월수금1-3교시;;2476
교양;미학과;1학년;003.072A;001;영상예술의 이해;2;월(4-3)/수(4-3)/금(4-3);014-104/014-104/014-104;최연희;40;40;14동 104호, 월수금4-6교시;;3621
교양;미학과;1학년;003.072A;002;영상예술의 이해;2;월(7-3)/수(7-3)/금(7-3);220-201/220-201/220-201;인원근;50;27;220동 201호, 월수금7-9교시;;3325
교양;미학과;1학년;003.072A;003;영상예술의 이해;2;월(4-3)/수(4-3)/금(4-3);220-201/220-201/220-201;민현준;50;50;220동 201호, 월수금4-6교시;;26039
교양;미학과;1학년;003.074;;대중예술의 이해;2;월(7-3)/수(7-3)/금(7-3);009-106/009-106/009-106;계영경;50;50;;;4416
교양;서양화과;1학년;003.076;;미술명작의 이해;3;월(1-3)/수(1-3)/금(1-3);43-1-201/43-1-201/43-1-201;강태성;150;11;미대생 수강불허;;26938
교양;국사학과;1학년;004.001;001;한국사;3;월(1-3)/수(1-3)/금(1-3);007-101/007-101/007-101;김수진;50;30;월수금 1-3교시;;19050
교양;국사학과;1학년;004.001;002;한국사;3;월(7-3)/수(7-3)/금(7-3);007-214/007-214/007-214;홍승우;50;50;월수금 7-9교시;;6305
교양;국사학과;1학년;004.001;003;한국사;3;월(4-3)/수(4-3)/금(4-3);007-214/007-214/007-214;김우택;50;50;월수금 4-6교시;;19013
교양;국사학과;1학년;004.002;;한국인의 역사의식;3;월(7-3)/수(7-3)/금(7-3);007-101/007-101/007-101;;50;5;;;
교양;국사학과;1학년;004.007;;한국의 독립운동;3;월(4-3)/수(4-3)/금(4-3);007-101/007-101/007-101;임대식;50;31;월수금4-6교시;;
교양;국사학과;2학년;004.010;001;한국현대사의 이해;3;월(1-3)/수(1-3)/금(1-3);014-104/014-104/014-104;한상구;50;21;월수금 1-3교시;;
교양;국사학과;2학년;004.010;002;한국현대사의 이해;3;월(7-3)/수(7-3)/금(7-3);43-1-403/43-1-403/43-1-403;윤상현;50;17;월수금 7-9교시;;727
교양;국사학과;2학년;004.015;;한국의 문화유산;2;화(4-3)/목(4-3);43-1-403/43-1-403;이광렬;50;50;화목 4-6교시;;12782
교양;동양사학과;1학년;004.021A;001;동아시아문화의 성립과 발전;3;월(7-3)/수(7-3)/금(7-3);43-1-302/43-1-302/43-1-302;송진;40;40;;;22727
교양;동양사학과;1학년;004.021A;002;동아시아문화의 성립과 발전;3;월(1-3)/수(1-3)/금(1-3);43-1-403/43-1-403/43-1-403;김용찬;40;21;;;30409
교양;동양사학과;1학년;004.022A;001;동아시아근대의 사적전개;3;월(4-3)/수(4-3)/금(4-3);014-112B/014-112B/014-112B;김두현;40;25;;;18443
교양;서양사학과;1학년;004.029A;001;유토피아의 역사;3;월(4-3)/수(4-3)/금(4-3);001-103/001-103/001-103;노경덕;50;50;월수금 12시 - 3시로 편성 바랍니다.;;
교양;서양사학과;1학년;004.029A;002;유토피아의 역사;3;월(7-3)/수(7-3)/금(7-3);005-107-2/005-107-2/005-107-2;노경덕;50;50;월수금 3시-6시로 편성 바랍니다;;
교양;서양사학과;2학년;004.031;;기독교와 유럽문명;3;월(4-3)/수(4-3)/금(4-3);007-202/007-202/007-202;윤영휘;50;34;월수금 12시-3시로 편성바랍니다;;
교양;고고미술사학과;1학년;004.037;;한국미술사입문;3;월(1-3)/수(1-3)/금(1-3);014-201/014-201/014-201;;70;9;14동 201호;;
교양;고고미술사학과;1학년;004.038;;동양미술사입문;3;월(1-3)/수(1-3)/금(1-3);014-112B/014-112B/014-112B;;70;5;14동 112B호;;
교양;고고미술사학과;1학년;004.039;;서양미술사입문;3;월(1-3)/수(1-3)/금(1-3);014-212B/014-212B/014-212B;윤희경;70;35;14동 212B호;;19564
교양;서양사학과;1학년;004.044A;;역사란 무엇인가;3;월(4-3)/수(4-3)/금(4-3);007-203/007-203/007-203;오흥식;50;3;월수금 12시-3시로 편성바랍니다;;22671
교양;서양사학과;1학년;004.045A;001;서양문명의 역사 1;3;월(1-3)/수(1-3)/금(1-3);007-102/007-102/007-102;박용진;50;37;월수금 9시 - 12시로 편성바랍니다;;
교양;서양사학과;1학년;004.045A;002;서양문명의 역사 1;3;월(4-3)/수(4-3)/금(4-3);007-102/007-102/007-102;이시연;50;50;월수금 12시 - 3시로 편성바랍니다;;
교양;서양사학과;1학년;004.045A;003;서양문명의 역사 1;3;월(7-3)/수(7-3)/금(7-3);005-212/005-212/005-212;김원중;50;3;월수금 3시 - 6시로 편성바랍니다;;
교양;서양사학과;1학년;004.047A;;서양사 속의 제국;3;월(4-3)/수(4-3)/금(4-3);007-106/007-106/007-106;정상수;50;50;월수금 12시 - 3시로 편성바랍니다;;32902
교양;서양사학과;1학년;004.048A;;민족과 국민의 역사;3;월(7-3)/수(7-3)/금(7-3);009-110/009-110/009-110;윤영휘;50;2;월수금 9시 - 12시로 편성바랍니다;;
교양;국사학과;1학년;004.049;001;인물로 본 한국사;2;화(1-3)/목(1-3);007-214/007-214;;50;50;;;
교양;국사학과;1학년;004.049;002;인물로 본 한국사;2;화(4-3)/목(4-3);007-214/007-214;한보람;50;50;;;
교양;국사학과;1학년;004.050;;남북분단과 한국전쟁;2;화(1-3)/목(1-3);005-211/005-211;오제연;50;50;화목 1-3교시;;12752
교양;철학과;1학년;004.051;001;철학개론;3;월(7-3)/수(7-3)/금(7-3);005-208/005-208/005-208;;50;50;박정태선생님;;
교양;철학과;1학년;004.051;002;철학개론;3;월(4-3)/수(4-3)/금(4-3);009-110/009-110/009-110;;50;29;이종주선생님;;
교양;철학과;1학년;004.064;;현대사회의 철학적 이해;3;월(1-3)/수(1-3)/금(1-3);007-209/007-209/007-209;진병운;50;28;;;3645
교양;종교학과;1학년;004.069;;종교학개론;3;월(1-3)/수(1-3)/금(1-3);083-604/083-604/083-604;윤용복;80;58;;;10633
교양;종교학과;1학년;004.070A;;종교와 영화;3;월(4-3)/수(4-3)/금(4-3);43-1-201/43-1-201/43-1-201;최화선;160;31;;;27044
교양;종교학과;1학년;004.071;;인간과 종교;3;월(1-3)/수(1-3)/금(1-3);083-305/083-305/083-305;이진구;160;160;;;4941
교양;종교학과;1학년;004.072;;신화와 역사;3;월(4-3)/수(4-3)/금(4-3);083-502/083-502/083-502;김현자;80;20;;;4119
교양;종교학과;2학년;004.077A;;종교와 예술;3;월(1-3)/수(1-3)/금(1-3);43-1-402/43-1-402/43-1-402;최유경;160;28;;;17957
교양;미학과;1학년;004.079A;;미학의 이해;3;월(1-3)/수(1-3)/금(1-3);005-101/005-101/005-101;이진석;40;19;5동 101호, 월수금1-3교시;;
교양;미학과;1학년;004.080;;예술과 사상;3;월(4-3)/수(4-3)/금(4-3);005-101/005-101/005-101;서원주;30;30;5동 101호, 월수금 4-6교시;;6214
교양;종교학과;1학년;004.087;001;세계종교입문;3;월(1-3)/수(1-3)/금(1-3);083-505/083-505/083-505;임부연;200;200;;;3958
교양;종교학과;1학년;004.087;002;세계종교입문;3;월(7-3)/수(7-3)/금(7-3);083-505/083-505/083-505;임부연;200;200;;;3958
교양;종교학과;1학년;004.088;;선과 종교수행;3;월(4-3)/수(4-3)/금(4-3);083-404/083-404/083-404;강은애;80;22;;;2897
교양;종교학과;1학년;004.089;;현대문화와 기독교;3;월(4-3)/수(4-3)/금(4-3);083-505/083-505/083-505;이유나;160;64;;;5577
교양;철학과;2학년;004.093;001;불교철학;3;월(1-3)/수(1-3)/금(1-3);007-201/007-201/007-201;김재성;50;50;;;18734
교양;철학과;2학년;004.093;002;불교철학;3;월(7-3)/수(7-3)/금(7-3);007-106/007-106/007-106;서정형;50;13;;;2868
교양;철학과;2학년;004.094;;도가철학;3;월(7-3)/수(7-3)/금(7-3);007-203/007-203/007-203;장원태;50;50;;;1766
교양;철학과;2학년;004.098;;역사철학;3;월(4-3)/수(4-3)/금(4-3);003-108/003-108/003-108;;50;13;심재원선생님;;
교양;철학과;1학년;004.105A;;생명의료윤리;3;월(4-3)/수(4-3)/금(4-3);003-103/003-103/003-103;이유달;50;40;;;26768
교양;서양사학과;1학년;004.111;001;역사와 영화;3;월(1-3)/수(1-3)/금(1-3);083-501/083-501/083-501;고재백;40;40;월수금 9시 - 12시로 편성바랍니다. 멀티미디어동(83동 501호)사용을 신청합니다;;14777
교양;서양사학과;1학년;004.111;002;역사와 영화;3;월(4-3)/수(4-3)/금(4-3);083-501/083-501/083-501;박용진;40;40;월수금 12시 - 3시로 편성바랍니다. 멀티미디어동(83동 501호) 사용을 신청합니다;;4357
교양;서양사학과;1학년;004.111;003;역사와 영화;3;월(7-3)/수(7-3)/금(7-3);083-501/083-501/083-501;이남희;40;40;월수금 3시 - 6시로 편성바랍니다. 멀티미디어동(83동 501호)을 신청합니다;;9245
교양;철학과;1학년;004.114;;동양철학의 고전;3;월(7-3)/수(7-3)/금(7-3);007-201/007-201/007-201;이상돈;50;15;;;26060
교양;철학과;1학년;004.117;;과학의 철학적 이해;3;월(1-3)/수(1-3)/금(1-3);003-107/003-107/003-107;김영;50;50;;;1069
교양;철학과;1학년;004.119;;서양철학의 고전;3;월(4-3)/수(4-3)/금(4-3);003-115/003-115/003-115;유혁;50;13;;;
교양;철학과;1학년;004.120;;성의 철학과 성윤리;3;월(4-3)/수(4-3)/금(4-3);007-201/007-201/007-201;김은희;50;50;;;5322
교양;철학과;1학년;004.122;;컴퓨터와 마음;3;월(1-3)/수(1-3)/금(1-3);007-203/007-203/007-203;강성훈;50;50;;;5611
교양;정치외교학부;1학년;005.001;;정치학개론;3;화(1-3)/목(1-3)/금(1-3);083-401/083-401/083-401;;50;41;;;
교양;정치외교학부;1학년;005.003;001;국제정치학입문;3;월(6-3)/수(6-3)/금(6-3);016-107/016-107/016-107;문병철;50;27;;;27057
교양;정치외교학부;1학년;005.003;002;국제정치학입문;3;월(6-3)/수(6-3)/금(6-3);016-217/016-217/016-217;김종법;50;1;;;19446
교양;경제학부;1학년;005.004;001;경제학개론;3;월(1-3)/수(1-3)/금(1-3);028-101/028-101/028-101;;220;220;;;
교양;경제학부;1학년;005.004;002;경제학개론;3;월(4-3)/수(4-3)/금(4-3);083-506/083-506/083-506;;200;200;;;
교양;인류학과;1학년;005.009;;인류학개론;3;월(4-3)/수(4-3)/금(4-3);016-236/016-236/016-236;;50;14;;;
교양;심리학과;1학년;005.010;001;심리학개론;3;월(1-3)/수(1-3)/금(1-3);016-214/016-214/016-214;이종택;100;57;;;4374
교양;심리학과;1학년;005.010;002;심리학개론;3;월(4-3)/수(4-3)/금(4-3);016-214/016-214/016-214;이종택;100;100;;;4374
교양;심리학과;1학년;005.010;003;심리학개론;3;월(7-3)/수(7-3)/금(7-3);016-214/016-214/016-214;박형생;100;100;;;1917
교양;심리학과;1학년;005.010;004;심리학개론;3;월(1-3)/수(1-3)/금(1-3);016-110/016-110/016-110;;100;14;;;
교양;심리학과;1학년;005.010;005;심리학개론;3;월(4-3)/수(4-3)/금(4-3);083-604/083-604/083-604;김수안;100;100;;;19567
교양;심리학과;1학년;005.010;006;심리학개론;3;월(7-3)/수(7-3)/금(7-3);083-404/083-404/083-404;;100;79;;;
교양;심리학과;2학년;005.011;001;인간관계의 심리학;3;월(1-3)/수(1-3)/금(1-3);083-404/083-404/083-404;김기환;100;100;;;23294
교양;심리학과;2학년;005.011;002;인간관계의 심리학;3;월(4-3)/수(4-3)/금(4-3);43-1-401/43-1-401/43-1-401;정지현;100;57;;;26067
교양;심리학과;2학년;005.011;003;인간관계의 심리학;3;월(7-3)/수(7-3)/금(7-3);43-1-401/43-1-401/43-1-401;박선영;100;100;;;11455
교양;심리학과;2학년;005.011;004;인간관계의 심리학;3;월(1-3)/수(1-3)/금(1-3);43-1-401/43-1-401/43-1-401;신우승;100;5;;;26068
교양;언론정보학과;1학년;005.023A;001;미디어와 현대사회;3;월(1-3)/수(1-3)/금(1-3);220-203/220-203/220-203;;120;28;언론정보학과 학생 수강 불허;;
교양;언론정보학과;1학년;005.023A;002;미디어와 현대사회;3;월(7-3)/수(7-3)/금(7-3);220-203/220-203/220-203;;120;56;언론정보학과 학생 수강 불허;;
교양;윤리교육과;1학년;005.037A;;사상과 윤리;3;월(1-3)/수(1-3)/금(1-3);009-106/009-106/009-106;조주현;80;78;;;30452
교양;사회학과;1학년;005.043;001;사회학의 이해;3;월(4-3)/수(4-3)/금(4-3);016-106/016-106/016-106;;50;38;;;
교양;사회학과;1학년;005.043;002;사회학의 이해;3;월(7-3)/수(7-3)/금(7-3);016-106/016-106/016-106;강성현;50;30;;;
교양;협동과정  과학사 및 과학철학전공;1학년;006.021A;;서양문명과 과학기술;3;월(1-3)/수(1-3)/금(1-3);025-101/025-101/025-101;정세권;50;12;;;29834
교양;협동과정  과학사 및 과학철학전공;1학년;006.025;001;과학기술과 사회;3;월(4-3)/수(4-3)/금(4-3);025-101/025-101/025-101;하대청;50;50;;;19568
교양;협동과정  과학사 및 과학철학전공;1학년;006.025;002;과학기술과 사회;3;월(7-3)/수(7-3)/금(7-3);025-101/025-101/025-101;;50;49;;;
교양;체육교육과;1학년;008.004;001;축구;1;월(1-2)/화(1-2)/수(1-2)/목(1-2)/금(1-2);-    /   -    /   -    /   -    /   -;이성운;30;30;종합운동장;;5804
교양;체육교육과;1학년;008.004;002;축구;1;월(3-2)/화(3-2)/수(3-2)/목(3-2)/금(3-2);-    /   -    /   -    /   -    /   -;편현웅;30;30;종합운동장;;
교양;체육교육과;1학년;008.004;003;축구;1;월(5-2)/화(5-2)/수(5-2)/목(5-2)/금(5-2);-    /   -    /   -    /   -    /   -;;30;30;종합운동장;;
교양;체육교육과;2학년;008.012;001;야구;1;월(1-2)/화(1-2)/수(1-2)/목(1-2)/금(1-2);-    /   -    /   -    /   -    /   -;남기정;30;30;보조운동장;;6127
교양;체육교육과;2학년;008.012;002;야구;1;월(3-2)/화(3-2)/수(3-2)/목(3-2)/금(3-2);-    /   -    /   -    /   -    /   -;남기정;30;30;보조운동장;;6127
교양;체육교육과;2학년;008.012;003;야구;1;월(5-2)/화(5-2)/수(5-2)/목(5-2)/금(5-2);-    /   -    /   -    /   -    /   -;;30;30;보조운동장;;
교양;체육교육과;1학년;008.017;001;에어로빅;1;월(1-2)/화(1-2)/수(1-2)/목(1-2)/금(1-2);-    /   -    /   -    /   -    /   -;김나이;30;30;71동 현대무용실;;26080
교양;체육교육과;1학년;008.017;002;에어로빅;1;월(3-2)/화(3-2)/수(3-2)/목(3-2)/금(3-2);-    /   -    /   -    /   -    /   -;홍애령;30;23;72동 현대무용실;;26079
