2013/S
2014-04-20 17:23:35
sector_char;sector;campus;department;classification;academic_year;course_number;course_title;credit;class_time;location;instructor;quota;enrollment;essential_major;team_teaching;cyber;native;remark
A;학부;서울;언어인지과학과;부전공;3학년;R07351101;심리언어학;3;월(1-3)/화(1-3)/수(1-3)/목(1-3)/금(1-3);2402/2402/2402/2402/2402;박진;60;18;;;;;(글로벌) 해당 이중전공자 전공인정
A;학부;서울;행정학과;전공;1학년;C01102501;행정학개론;3;월(4-3)/화(4-3)/수(4-3)/목(4-3)/금(4-3);3306/3306/3306/3306/3306;황기철;80;41;전필;;;;(글로벌) 정치외교학 부전공 인정
A;학부;서울;행정학과;전공;2학년;C02421101;지방정부론;3;월(7-3)/화(7-3)/수(7-3)/목(7-3)/금(7-3);3306/3306/3306/3306/3306;황기철;60;8;;;;;
A;학부;서울;행정학과;전공;3학년;C02207201;행정계량분석;3;월(1-3)/화(1-3)/수(1-3)/목(1-3)/금(1-3);3302/3302/3302/3302/3302;정재한;60;17;전필;;;;
A;학부;서울;중국학부;전공;1학년;B01135101;중국역사;2;월(3-2)/화(3-2)/수(3-2)/목(3-2)/금(3-2);1409/1409/1409/1409/1409;이익희;60;17;;;;;(글로벌) 중국어통번역 전공/이중/부 인정안함
A;학부;서울;중국학부;전공;1학년;B01133101;현대중국의이해;2;월(3-2)/화(3-2)/수(3-2)/목(3-2)/금(3-2);1303/1303/1303/1303/1303;하남석;60;26;;;;;(글로벌) 중국어통번역 전공/이중/부 인정안함
A;학부;서울;중국학부;전공;2학년;O01301301;FLEX중국어(1);2;월(1-2)/화(1-2)/수(1-2)/목(1-2)/금(1-2);1303/1303/1303/1303/1303;권영실;60;32;;;;;(글로벌) 중국어통번역 전공/이중/부 인정
A;학부;서울;경영학부;전공;1학년;D03103101;경영통계학;3;월(1-3)/화(1-3)/수(1-3)/목(1-3)/금(1-3);3106/3106/3106/3106/3106;구지현;90;29;전필;;;;(글로벌) 국제경영,경영정보, 경영(부전) 전공인정
A;학부;서울;경영학부;전공;1학년;D03103102;경영통계학;3;월(4-3)/화(4-3)/수(4-3)/목(4-3)/금(4-3);3106/3106/3106/3106/3106;구지현;90;45;전필;;;;(글로벌) 국제경영,경영정보, 경영(부전) 전공인정
A;학부;서울;경영학부;전공;1학년;D01203302;경영학원론;3;월(4-3)/화(4-3)/수(4-3)/목(4-3)/금(4-3);3407/3407/3407/3407/3407;이성준(용인교양);90;30;전필;;;;(글로벌) 국제경영,경영정보, 경영(부전) 전공인정
A;학부;서울;경영학부;전공;1학년;D01203303;경영학원론;3;월(4-3)/화(4-3)/수(4-3)/목(4-3)/금(4-3);3408/3408/3408/3408/3408;이우원;90;61;전필;;;;(글로벌) 국제경영,경영정보, 경영(부전) 전공인정
A;학부;서울;경영학부;전공;1학년;D01100101;경제학원론;3;월(1-3)/화(1-3)/수(1-3)/목(1-3)/금(1-3);3206/3206/3206/3206/3206;최영석;90;64;;;;;(글로벌) 국제경영,경영정보, 경영(부전) 전공인정
