2014/2
2014-07-15 15:49:01
sector_char;sector;campus;department;classification;academic_year;course_number;course_title;credit;class_time;location;instructor;quota;enrollment;essential_major;team_teaching;cyber;native;remark
B;대학원;서울;영문학과;전공;대학원;G01615101;17세기영시;3;목(4-3);6408;이진아;없음;0;;;;;석-박사
B;대학원;서울;영문학과;전공;대학원;G01613101;고중세영문학특강;3;월(7-3);6408;이동일;없음;0;;;;;석-박사
B;대학원;서울;영문학과;전공;대학원;G01696101;번역문학연습;3;수(7-3);6502;정은귀;없음;0;;;;;석-박사
B;대학원;서울;영문학과;전공;대학원;G01640101;비교문학연구II;3;화(7-3);6407;Robert Plunkett Newlin;없음;0;;;;;석-박사
B;대학원;서울;영문학과;전공;대학원;G01863101;셰익스피어연구Ⅰ;3;수(1-3);6408;박우수;없음;0;;;;;석-박사
B;대학원;서울;영문학과;전공;대학원;G01617101;아일랜드문학연구;3;목(7-3);6402;손동호;없음;0;;;;;석-박사
B;대학원;서울;영문학과;전공;대학원;G01873101;연극사Ⅱ;3;금(4-3);6307;박정만;없음;0;;;;;석-박사
B;대학원;서울;영문학과;전공;대학원;G01876101;영미단편소설연구;3;목(1-3);6407;김수연;없음;0;;;;;석-박사
B;대학원;서울;정치외교학과;전공;대학원;G40601101;고대정치사상연구;3;수(7-3);6209;김용민;없음;0;;;;;석-박사
B;대학원;서울;정치외교학과;전공;대학원;G40640101;국제정치이론;3;화(7-3);6305;이상환;없음;0;;;;;석-박사
B;대학원;서울;정치외교학과;전공;대학원;G40647101;국제정치체제연구;3;목(7-3);6401;남궁영;7;0;;;;;석-박사
B;대학원;서울;정치외교학과;전공;대학원;G40616101;비교정치연구;3;목(1-3);6306;이대진;없음;0;;;;;석-박사
B;대학원;서울;정치외교학과;전공;대학원;G40621101;유럽정치연구;3;수(4-3);6308;김면회;없음;0;;;;;석-박사
B;대학원;서울;정치외교학과;전공;대학원;G40610101;정치학방법론연구;3;월(2-3);;김웅진;없음;0;;;;;석-박사
B;대학원;서울;정치외교학과;전공;대학원;G40634101;한국이익집단정치연구;3;수(1-3);6306;이정희;없음;0;;;;;석-박사
E;교육대학원;서울;국어교육전공;전공;대학원;E05306101;국어교수학습론;2;목(3-2);;임경순;없음;0;;;;;
E;교육대학원;서울;국어교육전공;전공;대학원;G05302101;국어음성음운론연구;2;수(3-2);;허용;없음;0;;;;;
E;교육대학원;서울;국어교육전공;전공;대학원;E05305101;서사교육론연구;2;수(1-2);;김중신;없음;0;;;;;
E;교육대학원;서울;국어교육전공;전공;대학원;E05113101;작문교육론;2;화(3-2);;박영기;없음;0;;;;;
E;교육대학원;서울;국어교육전공;전공;대학원;E05134201;학교문법연구;2;목(1-2);;이규호;없음;0;;;;;
E;교육대학원;서울;국어교육전공;전공;대학원;E05228101;한국현대시연구;2;화(1-2);;신주철;없음;0;;;;;
B;대학원;서울;비교문학과D;전공;대학원;G19754101;문학과기타예술II;3;월(7-3);6302;이상빈;없음;0;;;;;박사
B;대학원;서울;비교문학과D;전공;대학원;G19719101;번역문학의이론과실제;3;수(7-3);6304;Kim Wook Dong;없음;0;;;;;박사
B;대학원;서울;비교문학과D;전공;대학원;G19717101;비교문학이론특강;3;수(1-3);6209;한성철;없음;0;;;;;박사
E;교육대학원;서울;철학교육전공;전공;대학원;E27101101;논리학연구;2;목(1-2);;조명동;없음;0;;;;;
E;교육대학원;서울;철학교육전공;전공;대학원;E27233101;비판적사고와논술;2;화(3-2);;주성호;없음;0;;;;;
E;교육대학원;서울;철학교육전공;전공;대학원;E27103X01;철학교재연구및지도법;2;목(3-2);;이은주(PH);없음;0;;;;;
E;교육대학원;서울;철학교육전공;전공;대학원;E27232101;철학논리및논술교육론;2;수(1-2);;정재환;없음;0;;;;;
A;학부;서울;교육학;부전공;3학년;V43252201;상업교재연구및지도법;3;;;;60;0;;;;;
A;학부;서울;교육학;부전공;3학년;V43502101;상업정보논리및논술;2;;;;60;0;;;;;
A;학부;서울;교육학;부전공;3학년;E01303501;영어교과교육론;3;금(4-3);3502;김향일;60;0;;;;원어;
A;학부;서울;교육학;부전공;3학년;E01304401;영어교재연구및지도법;3;금(1-3);1604;조혜영;60;0;;;;원어;
A;학부;서울;교육학;부전공;3학년;E01361301;영어논리및논술;2;금(3-2);6503;소리;60;0;;;;;
A;학부;서울;교육학;부전공;3학년;V43203201;외국어교재연구및지도법;3;목(1-3);2205;김숙희;60;0;;;;;
A;학부;서울;교육학;부전공;3학년;V43501101;외국어논리및논술;2;월(3-2);3402;박은화;60;0;;;;원어;
