2015/1
2015-03-30 03:45:57
classification;department;academic_year;course_number;lecture_number;course_title;credit;class_time;location;instructor;quota;enrollment;remark;category;snuev_lec_id;snuev_eval_score
교양;인문대학;국어국문학과;1학년;031.001;001(글쓰기의 기초);0;;이론/이론;003-103/003-103;0;25;25;;;
교양;인문대학;국어국문학과;1학년;031.001;002(글쓰기의 기초);0;;이론/이론;003-104/003-104;0;25;25;;;
교양;인문대학;국어국문학과;1학년;031.001;003(글쓰기의 기초);0;;이론/이론;008-401/008-401;0;25;25;;;
교양;인문대학;국어국문학과;1학년;031.001;004(글쓰기의 기초);0;;이론/이론;003-103/003-103;0;25;25;;;
교양;인문대학;국어국문학과;1학년;031.001;005(글쓰기의 기초);0;;이론/이론;003-104/003-104;0;25;25;;;
교양;인문대학;국어국문학과;1학년;031.001;006(글쓰기의 기초);0;;이론/이론;003-106/003-106;0;25;25;;;
교양;인문대학;국어국문학과;1학년;031.001;007(글쓰기의 기초);0;;이론/이론;003-103/003-103;0;25;25;;;
교양;인문대학;국어국문학과;1학년;031.001;008(글쓰기의 기초);0;;이론/이론;003-104/003-104;0;25;25;;;
교양;인문대학;국어국문학과;1학년;031.001;009(글쓰기의 기초);0;;이론/이론;003-106/003-106;0;25;25;;;
교양;인문대학;국어국문학과;1학년;031.001;010(글쓰기의 기초);0;;이론/이론;003-103/003-103;0;25;24;;;
교양;인문대학;국어국문학과;1학년;031.001;011(글쓰기의 기초);0;;이론/이론;003-104/003-104;0;25;15;;;
교양;인문대학;국어국문학과;1학년;031.001;012(글쓰기의 기초);0;;이론/이론;003-106/003-106;0;25;25;;;
교양;인문대학;국어국문학과;1학년;031.001;013(글쓰기의 기초);0;;이론/이론;083-402/083-402;0;25;25;;;
교양;인문대학;국어국문학과;1학년;031.001;014(글쓰기의 기초);0;;이론/이론;101-507/101-507;0;25;25;;;
교양;인문대학;국어국문학과;1학년;031.001;015(글쓰기의 기초);0;;이론/이론;016-226/016-226;0;25;25;;;
교양;인문대학;국어국문학과;1학년;031.001;016(글쓰기의 기초);0;;이론/이론;101-507/101-507;0;25;25;;;
교양;인문대학;국어국문학과;1학년;031.001;017(글쓰기의 기초);0;;이론/이론;002-110/002-110;0;25;23;;;
교양;인문대학;국어국문학과;1학년;031.001;018(글쓰기의 기초);0;;이론/이론;016-226/016-226;0;25;25;;;
교양;인문대학;국어국문학과;1학년;031.001;019(글쓰기의 기초);0;;이론/이론;101-507/101-507;0;25;25;;;
교양;인문대학;국어국문학과;1학년;031.001;020(글쓰기의 기초);0;;이론/이론;016-226/016-226;0;25;25;;;
교양;인문대학;국어국문학과;1학년;031.001;021(글쓰기의 기초);0;;이론/이론;003-106/003-106;0;25;25;;;
교양;인문대학;국어국문학과;1학년;031.001;022(글쓰기의 기초);0;;이론/이론;101-507/101-507;0;25;25;;;
교양;인문대학;국어국문학과;1학년;031.001;023(글쓰기의 기초);0;;이론/이론;008-303/008-303;0;25;25;;;
교양;인문대학;국어국문학과;1학년;031.001;024(글쓰기의 기초);0;;이론/이론;003-106/003-106;0;25;25;;;
교양;인문대학;국어국문학과;1학년;031.001;025(글쓰기의 기초);0;;이론/이론;101-507/101-507;0;25;25;;;
교양;인문대학;국어국문학과;1학년;031.001;026(글쓰기의 기초);0;;이론/이론;016-226/016-226;0;25;25;;;
교양;인문대학;국어국문학과;1학년;031.001;027(글쓰기의 기초);0;;이론/이론;220-201/220-201;0;25;25;;;
교양;인문대학;국어국문학과;1학년;031.001;028(글쓰기의 기초);0;;이론/이론;003-107/003-107;0;25;21;;;
교양;인문대학;국어국문학과;1학년;031.001;029(글쓰기의 기초);0;;이론/이론;058-327/058-327;0;25;25;;;
교양;인문대학;국어국문학과;1학년;031.001;030(글쓰기의 기초);0;;이론/이론;058-120/058-120;0;25;22;;;
교양;인문대학;국어국문학과;1학년;031.001;031(글쓰기의 기초);0;;이론/이론;058-119/058-119;0;25;25;;;
