2011/2
2012-06-12 21:05:24
classification;department;academic_year;course_number;lecture_number;course_title;credit;class_time;location;instructor;quota;enrollment;remark;category;snuev_lec_id;snuev_eval_score
교양;국어국문학과;1학년;001.014;;국어화법;3;월(1.5-1.5)/수(1.5-1.5);006-106/006-106;최영인;40;23;;normal_korean;33105;NaN
교양;국어국문학과;1학년;001.015A;;학술논문작성법;3;화(6-1.5)/목(6-1.5);43-1-304/43-1-304;오민석;40;7;;normal_korean;29819;7.0
교양;국어국문학과;1학년;001.025;;실용문의 분석과 작성;3;금(6-3);001-210;차익종;40;17;;normal_korean;22713;10.0
교양;국어국문학과;1학년;001.028;;한국어와 대중문화;3;화(7.5-1.5)/목(7.5-1.5);014-112B/014-112B;장소원;40;27;;normal_korean;22443;8.0
교양;영어영문학과;1학년;002.005A;001;영미문화 읽기;3;월(4.5-1.5)/수(4.5-1.5);014-112B/014-112B;김예리;40;14;;normal_foreign;29820;5.5
교양;영어영문학과;1학년;002.005A;002;영미문화 읽기;3;화(3-1.5)/목(3-1.5);007-203/007-203;강상구;40;7;;normal_foreign;29821;8.0
교양;영어영문학과;1학년;002.006A;001;영미 대중소설 읽기;3;월(7.5-1.5)/수(7.5-1.5);014-101A/014-101A;이정진;40;16;;normal_foreign;22715;7.57
교양;영어영문학과;1학년;002.006A;002;영미 대중소설 읽기;3;화(6-1.5)/목(6-1.5);001-101/001-101;김영현;40;26;;normal_foreign;22714;NaN
교양;불어불문학과;1학년;002.042A;001;프랑스어권 문화의 이해;3;월(4.5-1.5)/수(4.5-1.5);006-210/006-210;문경자;40;7;;normal_foreign;5895;7.18
교양;불어불문학과;1학년;002.042A;002;프랑스어권 문화의 이해;3;화(1.5-1.5)/목(1.5-1.5);014-112B/014-112B;장진영;40;27;;normal_foreign;686;7.87
교양;불어불문학과;1학년;002.042A;003;프랑스어권 문화의 이해;3;월(1.5-1.5)/수(1.5-1.5);006-210/006-210;김혜중;40;22;;normal_foreign;15419;6.13
교양;불어불문학과;1학년;002.042A;004;프랑스어권 문화의 이해;3;금(5-3);006-108;권수경;40;25;;normal_foreign;10041;7.7
