2011/W
2012-06-12 22:00:13
classification;department;academic_year;course_number;lecture_number;course_title;credit;class_time;location;instructor;quota;enrollment;remark;category;snuev_lec_id;snuev_eval_score
교양;영어영문학과;1학년;002.006A;;영미 대중소설 읽기;3;월(4-3)/수(4-3)/금(4-3);001-207/001-207/001-207;이정진;40;21;;normal_foreign;22715;7.57
교양;불어불문학과;1학년;002.042A;002;프랑스어권 문화의 이해;3;월(1-3)/수(1-3)/금(1-3);014-104/014-104/014-104;오은하;40;19;;normal_foreign;26933;9.5
교양;서어서문학과;1학년;002.133;001;스페인어권 문화의 이해;3;월(1-3)/수(1-3)/금(1-3);003-102/003-102/003-102;최해성;50;28;;normal_foreign;3637;8.78
교양;서어서문학과;1학년;002.133;002;스페인어권 문화의 이해;3;월(4-3)/수(4-3)/금(4-3);003-102/003-102/003-102;장재준;50;17;;normal_foreign;23338;8.25
교양;서어서문학과;1학년;002.133;003;스페인어권 문화의 이해;3;월(7-3)/수(7-3)/금(7-3);003-102/003-102/003-102;강성식;50;20;;normal_foreign;3059;7.26
교양;국어국문학과;1학년;003.009A;;소설로 보는 한국현대사회;3;월(7-3)/수(7-3)/금(7-3);001-103/001-103/001-103;정홍섭;40;14;;normal_art;32882;NaN
교양;국어국문학과;1학년;003.010A;;드라마의 이해와 감상;3;월(1-3)/수(1-3)/금(1-3);001-103/001-103/001-103;양근애;40;25;;normal_art;26936;8.25
교양;협동과정  서양고전학전공;1학년;003.024;;희랍·로마신화;3;월(1-3)/수(1-3)/금(1-3);220-204/220-204/220-204;김헌;30;23;;normal_art;6100;9.07
교양;언어학과;1학년;003.026;;언어와 인간;3;월(7-3)/수(7-3)/금(7-3);003-106/003-106/003-106;하세경;20;8;;normal_art;27017;NaN
교양;미학과;1학년;003.061A;001;공연예술의 이해;2;화(7-3)/목(7-3);014-104/014-104;이수완;50;29;;normal_art;7485;7.12
교양;미학과;1학년;003.061A;002;공연예술의 이해;2;화(1-3)/목(1-3);014-104/014-104;전예완;50;33;;normal_art;2476;8.36
교양;미학과;1학년;003.063;;미술론입문;2;월(5-2)/수(5-2)/금(5-2);220-206/220-206/220-206;정수경;30;20;;normal_art;898;8.62
교양;미학과;1학년;003.068;;예술과 과학;3;월(7-3)/수(7-3)/금(7-3);014-112B/014-112B/014-112B;김영;40;20;;normal_art;1364;8.19
교양;미학과;1학년;003.072A;001;영상예술의 이해;2;화(7-3)/목(7-3);007-106/007-106;인원근;50;29;;normal_art;3325;6.85
교양;미학과;1학년;003.072A;002;영상예술의 이해;2;월(5-2)/수(5-2)/금(5-2);220-202/220-202/220-202;민현준;50;23;;normal_art;26039;8.67
교양;미학과;1학년;003.074;;대중예술의 이해;2;화(4-3)/목(4-3);014-104/014-104;계영경;40;24;;normal_art;4416;7.76
교양;국사학과;1학년;004.001;001;한국사;3;월(1-3)/수(1-3)/금(1-3);220-201/220-201/220-201;조규환;60;31;;normal_history;;NaN
교양;국사학과;1학년;004.001;002;한국사;3;월(4-3)/수(4-3)/금(4-3);220-201/220-201/220-201;홍승우;60;40;;normal_history;6305;7.76
교양;국사학과;1학년;004.002;;한국인의 역사의식;3;월(7-3)/수(7-3)/금(7-3);007-202/007-202/007-202;정상우;60;22;;normal_history;30299;10.0
교양;국사학과;2학년;004.010;;한국현대사의 이해;3;월(4-3)/수(4-3)/금(4-3);083-402/083-402/083-402;임대식;60;29;;normal_history;158;8.4
교양;국사학과;2학년;004.015;;한국의 문화유산;2;화(1-3)/목(1-3);007-214/007-214;김지영;60;21;;normal_history;30300;4.0
교양;동양사학과;1학년;004.021A;001;동아시아문화의 성립과 발전;3;월(1-3)/수(1-3)/금(1-3);007-201/007-201/007-201;송진;40;11;;normal_history;22727;8.75
교양;동양사학과;1학년;004.021A;002;동아시아문화의 성립과 발전;3;월(4-3)/수(4-3)/금(4-3);007-201/007-201/007-201;윤형진;40;18;;normal_history;26048;8.64
교양;동양사학과;1학년;004.022A;001;동아시아근대의 사적전개;3;월(4-3)/수(4-3)/금(4-3);083-202/083-202/083-202;김두현;40;13;;normal_history;18443;8.47
교양;서양사학과;1학년;004.029;;사회주의의 역사;3;월(4-3)/수(4-3)/금(4-3);083-501/083-501/083-501;노경덕;50;37;;normal_history;18461;9.38
교양;서양사학과;2학년;004.031;;기독교와 유럽문명;3;월(1-3)/수(1-3)/금(1-3);083-502/083-502/083-502;박재욱;50;36;;normal_history;23374;8.4
교양;고고미술사학과;1학년;004.039;001;서양미술사입문;3;월(1-3)/수(1-3)/금(1-3);007-102/007-102/007-102;윤희경;70;33;;normal_history;19564;7.3
교양;서양사학과;1학년;004.045;001;서양문명의 역사;3;월(1-3)/수(1-3)/금(1-3);083-501/083-501/083-501;노서경;50;16;;normal_history;23380;5.0
교양;서양사학과;1학년;004.045;003;서양문명의 역사;3;월(7-3)/수(7-3)/금(7-3);083-501/083-501/083-501;노경덕;50;28;;normal_history;18409;8.85
교양;서양사학과;1학년;004.047;;제국주의;3;월(4-3)/수(4-3)/금(4-3);009-102/009-102/009-102;정상수;50;26;;normal_history;972;8.01
교양;국사학과;1학년;004.049;;인물로 본 한국사;2;화(1-3)/목(1-3);007-202/007-202;김진영;60;31;;normal_history;6219;10.0
교양;국사학과;1학년;004.050;;남북분단과 한국전쟁;2;월(3-2)/수(3-2)/금(3-2);016-217/016-217/016-217;오제연;60;44;;normal_history;12752;9.29
교양;철학과;1학년;004.051;001;철학개론;3;월(4-3)/수(4-3)/금(4-3);007-214/007-214/007-214;이재호;50;16;;normal_history;30305;10.0
교양;철학과;1학년;004.051;002;철학개론;3;월(7-3)/수(7-3)/금(7-3);007-101/007-101/007-101;박정태;50;38;;normal_history;18402;8.43
교양;종교학과;1학년;004.070A;;종교와 영화;3;월(4-3)/수(4-3)/금(4-3);083-305/083-305/083-305;최화선;200;59;;normal_history;27044;4.96
교양;종교학과;1학년;004.071;;인간과 종교;3;월(1-3)/수(1-3)/금(1-3);083-305/083-305/083-305;이진구;200;78;;normal_history;4941;8.18
교양;종교학과;2학년;004.077A;;종교와 예술;3;월(1-3)/수(1-3)/금(1-3);083-505/083-505/083-505;최유경;200;53;;normal_history;17957;7.2
교양;종교학과;1학년;004.087;001;세계종교입문;3;월(1-3)/수(1-3)/금(1-3);083-506/083-506/083-506;임부연;200;94;;normal_history;3958;8.08
